2018-07-29 23:28:33,060: INFO rootCategory : hello info ##FILE:main.cc; FUC: main; LINE: 10 ##
2018-07-29 23:28:33,062: DEBUG rootCategory : hello debug ##FILE:main.cc; FUC: main; LINE: 11 ##
2018-07-29 23:28:33,063: ERROR rootCategory : hello error ##FILE:main.cc; FUC: main; LINE: 12 ##
2018-07-29 23:28:33,064: WARN rootCategory : hello warn ##FILE:main.cc; FUC: main; LINE: 13 ##
2018-07-29 23:28:34,366: INFO rootCategory : hello info ##FILE:main.cc; FUC: main; LINE: 10 ##
2018-07-29 23:28:34,368: DEBUG rootCategory : hello debug ##FILE:main.cc; FUC: main; LINE: 11 ##
2018-07-29 23:28:34,368: ERROR rootCategory : hello error ##FILE:main.cc; FUC: main; LINE: 12 ##
2018-07-29 23:28:34,369: WARN rootCategory : hello warn ##FILE:main.cc; FUC: main; LINE: 13 ##
2018-07-29 23:28:35,043: INFO rootCategory : hello info ##FILE:main.cc; FUC: main; LINE: 10 ##
2018-07-29 23:28:35,048: DEBUG rootCategory : hello debug ##FILE:main.cc; FUC: main; LINE: 11 ##
2018-07-29 23:28:35,050: ERROR rootCategory : hello error ##FILE:main.cc; FUC: main; LINE: 12 ##
2018-07-29 23:28:35,050: WARN rootCategory : hello warn ##FILE:main.cc; FUC: main; LINE: 13 ##
2018-07-29 23:28:35,729: INFO rootCategory : hello info ##FILE:main.cc; FUC: main; LINE: 10 ##
2018-07-29 23:28:35,734: DEBUG rootCategory : hello debug ##FILE:main.cc; FUC: main; LINE: 11 ##
2018-07-29 23:28:35,738: ERROR rootCategory : hello error ##FILE:main.cc; FUC: main; LINE: 12 ##
2018-07-29 23:28:35,740: WARN rootCategory : hello warn ##FILE:main.cc; FUC: main; LINE: 13 ##
2018-07-29 23:28:36,341: INFO rootCategory : hello info ##FILE:main.cc; FUC: main; LINE: 10 ##
2018-07-29 23:28:36,347: DEBUG rootCategory : hello debug ##FILE:main.cc; FUC: main; LINE: 11 ##
2018-07-29 23:28:36,348: ERROR rootCategory : hello error ##FILE:main.cc; FUC: main; LINE: 12 ##
2018-07-29 23:28:36,349: WARN rootCategory : hello warn ##FILE:main.cc; FUC: main; LINE: 13 ##
2018-07-29 23:28:36,966: INFO rootCategory : hello info ##FILE:main.cc; FUC: main; LINE: 10 ##
2018-07-29 23:28:36,967: DEBUG rootCategory : hello debug ##FILE:main.cc; FUC: main; LINE: 11 ##
2018-07-29 23:28:36,968: ERROR rootCategory : hello error ##FILE:main.cc; FUC: main; LINE: 12 ##
2018-07-29 23:28:36,971: WARN rootCategory : hello warn ##FILE:main.cc; FUC: main; LINE: 13 ##
2018-07-29 23:28:37,606: INFO rootCategory : hello info ##FILE:main.cc; FUC: main; LINE: 10 ##
2018-07-29 23:28:37,607: DEBUG rootCategory : hello debug ##FILE:main.cc; FUC: main; LINE: 11 ##
2018-07-29 23:28:37,608: ERROR rootCategory : hello error ##FILE:main.cc; FUC: main; LINE: 12 ##
2018-07-29 23:28:37,609: WARN rootCategory : hello warn ##FILE:main.cc; FUC: main; LINE: 13 ##
2018-07-29 23:28:38,281: INFO rootCategory : hello info ##FILE:main.cc; FUC: main; LINE: 10 ##
2018-07-29 23:28:38,282: DEBUG rootCategory : hello debug ##FILE:main.cc; FUC: main; LINE: 11 ##
2018-07-29 23:28:38,283: ERROR rootCategory : hello error ##FILE:main.cc; FUC: main; LINE: 12 ##
2018-07-29 23:28:38,283: WARN rootCategory : hello warn ##FILE:main.cc; FUC: main; LINE: 13 ##
2018-07-29 23:28:38,935: INFO rootCategory : hello info ##FILE:main.cc; FUC: main; LINE: 10 ##
2018-07-29 23:28:38,940: DEBUG rootCategory : hello debug ##FILE:main.cc; FUC: main; LINE: 11 ##
2018-07-29 23:28:38,940: ERROR rootCategory : hello error ##FILE:main.cc; FUC: main; LINE: 12 ##
2018-07-29 23:28:38,941: WARN rootCategory : hello warn ##FILE:main.cc; FUC: main; LINE: 13 ##
2018-07-29 23:28:39,553: INFO rootCategory : hello info ##FILE:main.cc; FUC: main; LINE: 10 ##
2018-07-29 23:28:39,554: DEBUG rootCategory : hello debug ##FILE:main.cc; FUC: main; LINE: 11 ##
2018-07-29 23:28:39,555: ERROR rootCategory : hello error ##FILE:main.cc; FUC: main; LINE: 12 ##
2018-07-29 23:28:39,556: WARN rootCategory : hello warn ##FILE:main.cc; FUC: main; LINE: 13 ##
